Polaroid,Jonas Blue,16,2018-11-09,pop;dance pop,652
Lost In Japan - Remix,Shawn Mendes,75,2018-09-27,pop;dance pop,706
In Your Arms (with X Ambassadors),ILLENIUM,75,2019-08-16,pop;dance pop,404
I'm Not Alright,Loud Luxury,55,2019-07-12,pop;dance pop,876
SOS,Avicii,30,2019-04-10,pop;dance pop,802
Harder,Jax Jones,62,2019-07-12,pop;dance pop,906
The Middle,Zedd,84,2018-01-23,pop;dance pop,753
Wanted,NOTD,70,2019-09-27,pop;dance pop,693
Crash Into Me,Steve Aoki,37,2019-07-12,pop;dance pop,672
Need Your Love (with Noah Kahan),Gryffin,70,2019-10-24,pop;dance pop,581
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,2019-05-13,pop;dance pop,643
Don't Call Me Up,Mabel,85,2019-01-18,pop;dance pop,674
Nostalgic,A R I Z O N A,36,2019-06-18,pop;dance pop,691
Let It Be Me,Steve Aoki,52,2019-09-06,pop;dance pop,661
Lovers + Strangers,Starley,58,2019-10-11,pop;dance pop,653
Sad Song (feat. TINI),Alesso,72,2019-06-14,pop;dance pop,734
Sleepless Nights,ayokay,64,2018-08-31,pop;dance pop,663
Save Me Tonight,ARTY,63,2019-01-25,pop;dance pop,0.55
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,2017-03-02,pop;dance pop,703
No Sleep (feat. Bonn),Martin Garrix,76,2019-02-21,pop;dance pop,0.44
Feel Good (feat. Daya),Gryffin,74,2017-03-03,pop;dance pop,625
Endless Summer,Cashae,56,2019-07-12,pop;dance pop,625
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,2019-10-25,pop;dance pop,547
Think About You,Kygo,71,2019-02-14,pop;dance pop,673
Party For One,Carly Rae Jepsen,64,2019-05-17,pop;dance pop,699
Ritual,Tiësto,82,2019-05-31,pop;dance pop,647
Electricity (with Dua Lipa),Silk City,81,2018-09-06,pop;dance pop,588
Lie,Shallou,41,2018-01-25,pop;dance pop,655
I Found You (with Calvin Harris),benny blanco,62,2018-12-07,pop;dance pop,0.79
Now That I Found You,Carly Rae Jepsen,5,2019-02-27,pop;dance pop,611
All Comes Back To You,R3HAB,72,2019-10-25,pop;dance pop,726
Need U,DVBBS,24,2019-08-16,pop;dance pop,714
First Love,Lost Kings,58,2017-10-13,pop;dance pop,619
Something Real,Armin van Buuren,65,2019-07-12,pop;dance pop,575
TIME,Alesso,64,2019-03-08,pop;dance pop,768
Something About You (with Rudimental),Elderbrook,53,2019-08-09,pop;dance pop,767
Home (feat. Bonn),Martin Garrix,72,2019-08-16,pop;dance pop,466
Simple (STVW Remix),FANNYPACK,39,2019-04-12,pop;dance pop,434
Sorry,Joel Corry,75,2019-04-05,pop;dance pop,744
Spicy (with Diplo & Charli XCX),Herve Pagez,60,2019-05-30,pop;dance pop,837
The Upside (feat. Elle King),Lindsey Stirling,18,2019-08-02,pop;dance pop,514
Stay,Zedd,79,2017-02-23,pop;dance pop,0.69
Million Voices,Armin van Buuren,60,2019-10-25,pop;dance pop,466
Closer (feat. Halsey),The Chainsmokers,85,2016-07-29,pop;dance pop,748
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,2014-10-13,pop;dance pop,647
Clarity,Zedd,74,2012-01-01,pop;dance pop,509
Solo (feat. Demi Lovato),Clean Bandit,80,2018-05-17,pop;dance pop,737
Scared to Be Lonely,Martin Garrix,81,2017-01-27,pop;dance pop,584
Friends (with BloodPop®),Justin Bieber,76,2017-08-17,pop;dance pop,743
RITMO (Bad Boys For Life),The Black Eyed Peas,96,2019-10-12,pop;dance pop,721
Promises (with Sam Smith),Calvin Harris,84,2018-08-17,pop;dance pop,781
Turn Me On (feat. Vula),Riton,86,2019-09-13,pop;dance pop,737
Light,San Holo,68,2017-02-10,pop;dance pop,0.57
2U,David Guetta,66,2017-06-09,pop;dance pop,551
Something Just Like This,The Chainsmokers,83,2017-04-07,pop;dance pop,617
One Kiss (with Dua Lipa),Calvin Harris,85,2018-04-06,pop;dance pop,791
Heroes (we could be),Alesso,73,2015-05-26,pop;dance pop,503
It Ain’t Me (with Selena Gomez),Kygo,69,2017-02-17,pop;dance pop,0.64
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,2012-01-01,pop;dance pop,658
Let Me Love You,DJ Snake,81,2016-08-05,pop;dance pop,649
Roses,The Chainsmokers,73,2015-06-16,pop;dance pop,713
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,2012-11-29,pop;dance pop,596
Latch,Disclosure,19,2013-01-01,pop;dance pop,503
Flames,David Guetta,57,2018-09-14,pop;dance pop,609
Sorry,Justin Bieber,81,2015-11-13,pop;dance pop,654
This Is What You Came For,Calvin Harris,79,2016-04-29,pop;dance pop,0.63
Wake Me Up,Avicii,84,2013-01-01,pop;dance pop,532
In My Mind,Dynoro,84,2018-06-08,pop;dance pop,694
Titanium (feat. Sia),David Guetta,66,2011-08-26,pop;dance pop,604
Where Are Ü Now,Skrillex,8,2015-11-13,pop;dance pop,432
Firework,Katy Perry,64,2010-01-01,pop;dance pop,638
Mi Gente (feat. Beyoncé),J Balvin,61,2017-09-28,pop;dance pop,759
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,2012-01-01,pop;dance pop,614
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,2016-09-23,pop;dance pop,669
Anything Could Happen,Ellie Goulding,57,2012-01-01,pop;dance pop,702
Poker Face,Lady Gaga,69,2008-01-01,pop;dance pop,851
How Deep Is Your Love,Calvin Harris,77,2015-07-17,pop;dance pop,738
In Your Eyes (feat. Alida),Robin Schulz,74,2020-01-10,pop;dance pop,0.57
Wish You Well (with Sigala),Sigala,5,2019-09-27,pop;dance pop,0.67
With You - LöKii Remix,Kaskade,57,2019-09-12,pop;dance pop,708
Dive,Hot Shade,68,2019-12-20,pop;dance pop,654
No Goodbye,Paul Kalkbrenner,65,2019-07-26,pop;dance pop,945
Work,MOTi,58,2019-01-25,pop;dance pop,704
Instagram,Dimitri Vegas & Like Mike,81,2019-07-05,pop;dance pop,765
Better Off Without You (feat. Shift K3Y),Becky Hill,68,2020-01-10,pop;dance pop,682
Butterfly,Molella,43,2019-06-21,pop;dance pop,627
All The Love You Got,MOTi,57,2019-12-20,pop;dance pop,762
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,2019-07-19,pop;dance pop,577
Love Is Not Enough,GATTÜSO,58,2019-12-19,pop;dance pop,632
Lose Control,MEDUZA,91,2019-10-11,pop;dance pop,598
I Wanna Dance,Jonas Blue,67,2019-07-19,pop;dance pop,825
After The Landslide - Club Remix,Matt Simons,42,2019-09-19,pop;dance pop,0.63
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,2019-08-29,pop;dance pop,795
Pon de Replay,Ed Marquis,64,2017-04-28,pop;dance pop,529
So Close,NOTD,79,2018-11-02,pop;dance pop,0.7
Look Into My Eyes,Brando,48,2020-01-10,pop;dance pop,791
Not in Control,Glaceo,53,2019-12-20,pop;dance pop,904
BLUE,Tiësto,75,2019-12-13,pop;dance pop,744
Don't Waste My Time,Kharfi,46,2019-11-08,pop;dance pop,772
Beat Of My Heart,Lost Frequencies,67,2019-10-04,pop;dance pop,706
Don't Start Now - Kungs Remix,Dua Lipa,65,2019-12-18,pop;dance pop,664
Drunken Truth,Steve Void,56,2019-12-20,pop;dance pop,781
Jacques,Jax Jones,42,2019-08-28,pop;dance pop,789
Something Real,Armin van Buuren,58,2019-10-25,pop;dance pop,575
Stay (Don't Go Away) [feat. Raye],David Guetta,74,2019-05-09,pop;dance pop,669
Solid Gold,PNAU,65,2019-05-02,pop;dance pop,567
One Life,Mike Perry,64,2019-09-27,pop;dance pop,653
All ‘Bout The Money,FAULHABER,51,2019-10-18,pop;dance pop,721
Never Letting Go,Audien,63,2018-11-09,pop;dance pop,534
Used To Love (with Dean Lewis),Martin Garrix,83,2019-10-31,pop;dance pop,651
Giulia,Prince Paris,55,2019-11-29,pop;dance pop,682
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,2019-10-18,pop;dance pop,0.66
Dreams Of You (feat. Rae Morris),Icarus,48,2019-10-04,pop;dance pop,0.57
I Will Let You Down (feat. KLARA),Madison Mars,59,2019-12-06,pop;dance pop,608
Carillon (with Achille Lauro),Nahaze,64,2019-12-11,pop;dance pop,561
La Vie - Gabry Ponte Mix,DJ Ross,42,2019-11-15,pop;dance pop,591
Lullaby,R3HAB,70,2018-01-26,pop;dance pop,626
Say It,Phantoms,57,2019-07-19,pop;dance pop,745
All This Time,Deorro,21,2019-07-12,pop;dance pop,0.66
All You Need To Know (feat. Calle Lehmann),Gryffin,68,2019-10-24,pop;dance pop,0.53
Acordeão,Tiësto,63,2019-08-08,pop;dance pop,552
My Friend,Yves V,54,2019-05-31,pop;dance pop,471
On & On,Alok,79,2019-11-22,pop;dance pop,747
Juliet & Romeo,Martin Solveig,72,2019-12-06,pop;dance pop,712
All Around The World (La La La),R3HAB,80,2019-04-05,pop;dance pop,733
Are You Lonely (feat. ISÁK),Steve Aoki,47,2019-02-22,pop;dance pop,517
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19,2019-03-01,pop;dance pop,675
Close Your Eyes,Felix Jaehn,79,2019-11-22,pop;dance pop,818
Buzzing (with Nevve),Audien,59,2019-11-08,pop;dance pop,639
Never Be Alone (feat. Aloe Blacc),David Guetta,68,2019-07-26,pop;dance pop,535
Roses - Imanbek Remix,SAINt JHN,72,2019-09-13,pop;dance pop,784
Insane,Ofenbach,66,2019-11-15,pop;dance pop,809
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,59,2020-01-03,pop;dance pop,669
Only Want You - Sam Feldt Remix,Rita Ora,64,2019-04-05,pop;dance pop,578
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,9,2019-02-01,pop;dance pop,733
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,41,2019-05-02,pop;dance pop,0.63
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,2019-09-27,pop;dance pop,845
Not Ok - Frank Walker Remix,Kygo,66,2019-07-05,pop;dance pop,679
Heaven (feat. Veronica),Dzeko,68,2019-01-04,pop;dance pop,657
Sixteen - Don Diablo Remix,Ellie Goulding,66,2019-05-10,pop;dance pop,493
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,63,2019-05-10,pop;dance pop,687
Brave,Don Diablo,68,2019-04-26,pop;dance pop,654
Let It Be Me,Steve Aoki,23,2019-09-06,pop;dance pop,661
Carry On - Nicky Romero Remix,Kygo,67,2019-05-30,pop;dance pop,447
Magnets (feat. Sophie Simmons),Sam Feldt,62,2019-05-10,pop;dance pop,731
Don't Give Up On Me,Andy Grammer,9,2019-04-12,pop;dance pop,489
Found Love (feat. Lovespeake),MOTi,59,2019-02-15,pop;dance pop,0.6
These Are The Times (feat. JRM),Martin Garrix,71,2019-07-18,pop;dance pop,687
Wherever You Go,Jonas Blue,21,2018-11-09,pop;dance pop,711
Happy Now,Kygo,81,2018-10-26,pop;dance pop,693
Roots,Valerie Broussard,69,2019-08-16,pop;dance pop,683
Talk - Alle Farben Remix,Khalid,56,2019-04-04,pop;dance pop,638
All The Lies - Toby Romeo Remix / Radio Edit,Alok,56,2019-07-19,pop;dance pop,707
High Hopes - Don Diablo Remix,Panic! At The Disco,60,2019-01-11,pop;dance pop,0.59
Summer Air (feat. Trevor Guthrie),Hardwell,40,2019-05-31,pop;dance pop,632
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,57,2019-06-28,pop;dance pop,703
Bruises - Steve Void Remix,Lewis Capaldi,70,2019-09-27,pop;dance pop,0.79
Insomnia - King Arthur Remix,Daya,63,2019-05-17,pop;dance pop,733
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,65,2019-04-24,pop;dance pop,728
I Miss Myself - R3HAB Remix,NOTD,56,2019-06-07,pop;dance pop,502
8 Letters - R3HAB Remix,Why Don't We,2,2018-09-28,pop;dance pop,638
You Deserve Better - Andrelli Remix,James Arthur,53,2018-06-29,pop;dance pop,685
Remember (with ZOHARA),Gryffin,11,2018-10-26,pop;dance pop,0.62
REMEDY,Alesso,77,2018-08-31,pop;dance pop,601
Leave,Borgeous,56,2019-01-25,pop;dance pop,762
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,65,2019-03-08,pop;dance pop,684
I'm Not Sorry,Hardwell,34,2019-03-08,pop;dance pop,0.65
Tequila - Robin Schulz Remix,Dan + Shay,54,2019-03-21,pop;dance pop,448
Happier - Frank Walker Remix,Marshmello,51,2018-10-19,pop;dance pop,712
Sing It With Me - Embody Remix,JP Cooper,50,2019-06-21,pop;dance pop,674
Thursday - Nicky Romero Remix,Jess Glynne,52,2018-12-07,pop;dance pop,739
Better When You're Gone,David Guetta,76,2019-02-08,pop;dance pop,647
Wish You Well,Sigala,75,2019-05-24,pop;dance pop,669
Only When It Rains,Frank Walker,52,2019-03-29,pop;dance pop,792
Mad Love - Blinkie Remix,Mabel,62,2019-07-05,pop;dance pop,706
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,65,2018-08-16,pop;dance pop,645
Better Day (feat. Aloe Blacc),Young Bombs,62,2019-11-01,pop;dance pop,662
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,10,2019-08-02,pop;dance pop,673
Discovery,Syn Cole,55,2019-05-31,pop;dance pop,516
With You - Frank Walker Remix,Tyler Shaw,49,2019-02-01,pop;dance pop,686
2 Hearts (feat. Gia Koka),Sam Feldt,70,2020-01-10,pop;dance pop,503
Love You Forever,Nicky Romero,61,2019-06-21,pop;dance pop,382
Post Malone (feat. RANI),Sam Feldt,75,2019-08-16,pop;dance pop,0.59
Thorns,Faustix,60,2019-03-29,pop;dance pop,708
Shotgun (The Wild Remix),George Ezra,63,2018-06-15,pop;dance pop,588
True Colors (feat. Maya Avedis),XO Cupid,73,2018-09-21,pop;dance pop,636
Crying In The Sun,Faustix,60,2018-11-23,pop;dance pop,682
Need You,Faustix,62,2019-07-26,pop;dance pop,639
Sweet Dreams (Are Made of This),Winati,67,2019-06-21,pop;dance pop,815
Million Lights,Tungevaag & Raaban,61,2019-03-22,pop;dance pop,696
